split,target,model,n,RMSE,MAE,R2
1,XLE_target,naive,231,0.011996261834331116,0.009372426260372286,-1.3885104199751197e-07
1,XLE_target,linear_regression,231,0.015866118933035918,0.012239953143831212,-0.7492408010615654
1,XLE_target,random_forest,231,0.0125688359498158,0.009773868286552577,-0.09773700191244594
1,ICLN_target,naive,231,0.009513128472198247,0.007365528135793923,-0.014795275508297845
1,ICLN_target,linear_regression,231,0.013024876345042555,0.009943436666194534,-0.9022996623995838
1,ICLN_target,random_forest,231,0.009809564227909249,0.0075861171669294675,-0.07902409600088878
2,XLE_target,naive,231,0.038641040981786584,0.024516289213243603,-0.0025647050804780136
2,XLE_target,linear_regression,231,0.04142408223895019,0.025685988165818237,-0.15218062145152755
2,XLE_target,random_forest,231,0.04004833913047952,0.025400392781770094,-0.07692087589178187
2,ICLN_target,naive,231,0.028105692544691478,0.018404699618417064,-0.012111385218072979
2,ICLN_target,linear_regression,231,0.03253907759507162,0.019747688094755873,-0.3565949723539863
2,ICLN_target,random_forest,231,0.02868292897283507,0.018775155601050163,-0.05411191664722126
3,XLE_target,naive,231,0.021136027812588307,0.016776281111849648,-0.014289833185475498
3,XLE_target,linear_regression,231,0.026571568603867408,0.020799424539750033,-0.6030597678072682
3,XLE_target,random_forest,231,0.025460384259773525,0.019578365995917345,-0.471787928978709
3,ICLN_target,naive,231,0.021442738870937703,0.015706227046236528,-6.760092652324801e-07
3,ICLN_target,linear_regression,231,0.022464570515546543,0.016602423630523545,-0.09757958378152987
3,ICLN_target,random_forest,231,0.02184557756124803,0.01611837171560119,-0.03792707861057254
4,XLE_target,naive,231,0.02105314503898406,0.016485081655911133,-0.00713969658043756
4,XLE_target,linear_regression,231,0.021901214014454114,0.017166023052938448,-0.08991373956649351
4,XLE_target,random_forest,231,0.023689576376202587,0.017586058246593508,-0.27517661133643934
4,ICLN_target,naive,231,0.022164320251356416,0.016997747612260555,-0.0002929190894311873
4,ICLN_target,linear_regression,231,0.022722964963516088,0.01759133582682202,-0.051352517370345074
4,ICLN_target,random_forest,231,0.022636032475192257,0.017668843184625194,-0.04332347187110064
5,XLE_target,naive,231,0.01784993803752084,0.013607486855588161,-0.0009497132182845203
5,XLE_target,linear_regression,231,0.018868403899214948,0.01431772788836947,-0.11843091266252381
5,XLE_target,random_forest,231,0.018184809353479586,0.013956573758135969,-0.03885835848864683
5,ICLN_target,naive,231,0.01599866749987563,0.01227939775359218,-0.006930795423243152
5,ICLN_target,linear_regression,231,0.016512844743042467,0.012802104564309214,-0.07269385653292182
5,ICLN_target,random_forest,231,0.01643117976546468,0.012462961622896632,-0.062109986512178805
